,Zone,Shipping Class,,,˷,Currency,
Dominica,Rest of World,small-light,,<300,10.44 ,USD,
Djibouti,Rest of World,small-light,,<300,10.88 ,USD,
Curacao,Rest of World,small-light,,<300,9.85 ,USD,
Cote D'Ivoire,Rest of World,small-light,,<300,8.53 ,USD,
Cook Islands,Rest of World,small-light,,<300,22.35 ,USD,
Comoros,Rest of World,small-light,,<300,9.12 ,USD,
Chad,Rest of World,small-light,,<300,10.29 ,USD,
Central African Republic,Rest of World,small-light,,<300,10.88 ,USD,
Cayman Islands,Rest of World,small-light,,<300,9.85 ,USD,
Cape Verde,Rest of World,small-light,,<300,10.88 ,USD,
Burundi,Rest of World,small-light,,<300,9.85 ,USD,
Burkina Faso,Rest of World,small-light,,<300,9.56 ,USD,
Botswana,Rest of World,small-light,,<300,8.97 ,USD,
Bonaire,Rest of World,small-light,,<300,10.88 ,USD,
Bhutan,Rest of World,small-light,,<300,7.35 ,USD,
Bermuda,Rest of World,small-light,,<300,8.97 ,USD,
Benin,Rest of World,small-light,,<300,9.41 ,USD,
Barbados,Rest of World,small-light,,<300,8.97 ,USD,
Bahamas,Rest of World,small-light,,<300,9.41 ,USD,
Ascension Island,Rest of World,small-light,,<300,11.76 ,USD,
Aruba,Rest of World,small-light,,<300,11.03 ,USD,
Antigua and Barbuda,Rest of World,small-light,,<300,8.53 ,USD,
Anguilla,Rest of World,small-light,,<300,10.44 ,USD,
Andorra,Rest of World,small-light,,<300,8.09 ,USD,
American Samoa,Rest of World,small-light,,<300,11.32 ,USD,
Algeria,Rest of World,small-light,,<300,8.82 ,USD,
